C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I10890.27] Elapsed: 3:01:30, vertices: 654, facets final: 6668, pending: 357663, pool: 50
I10985.39] Elapsed: 3:03:05, vertices: 655, facets final: 6668, pending: 349467, pool: 50
I11111.97] Elapsed: 3:05:12, vertices: 656, facets final: 6668, pending: 344249, pool: 50
I11195.09] Elapsed: 3:06:35, vertices: 657, facets final: 6668, pending: 328981, pool: 49
I11288.10] Elapsed: 3:08:08, vertices: 658, facets final: 6670, pending: 335671, pool: 49
I11379.68] Elapsed: 3:09:40, vertices: 659, facets final: 6670, pending: 337338, pool: 50
I11464.98] Elapsed: 3:11:05, vertices: 660, facets final: 6670, pending: 341322, pool: 49
I11548.29] Elapsed: 3:12:28, vertices: 661, facets final: 6671, pending: 355219, pool: 48
I11623.01] Elapsed: 3:13:43, vertices: 662, facets final: 6671, pending: 341178, pool: 49
I11715.18] Elapsed: 3:15:15, vertices: 663, facets final: 6672, pending: 357537, pool: 50
I11813.33] Elapsed: 3:16:53, vertices: 664, facets final: 6672, pending: 366342, pool: 49
I11915.33] Elapsed: 3:18:35, vertices: 665, facets final: 6673, pending: 371109, pool: 50
I12021.07] Elapsed: 3:20:21, vertices: 666, facets final: 6673, pending: 349083, pool: 50
I12110.34] Elapsed: 3:21:50, vertices: 667, facets final: 6673, pending: 329511, pool: 50
I12197.36] Elapsed: 3:23:17, vertices: 668, facets final: 6673, pending: 336935, pool: 50
I12290.76] Elapsed: 3:24:51, vertices: 669, facets final: 6673, pending: 322443, pool: 50
I12371.21] Elapsed: 3:26:11, vertices: 670, facets final: 6673, pending: 325963, pool: 49
I12459.41] Elapsed: 3:27:39, vertices: 671, facets final: 6673, pending: 322059, pool: 49
I12540.75] Elapsed: 3:29:01, vertices: 672, facets final: 6674, pending: 337604, pool: 50
I12604.21] Elapsed: 3:30:04, vertices: 673, facets final: 6674, pending: 326066, pool: 49
I12664.89] Elapsed: 3:31:05, vertices: 674, facets final: 6674, pending: 314346, pool: 50
I12734.94] Elapsed: 3:32:15, vertices: 675, facets final: 6674, pending: 317987, pool: 50
I12807.61] Elapsed: 3:33:28, vertices: 676, facets final: 6674, pending: 313065, pool: 50
