C maximal rule for r=c:ab;s=b:adr; rs,bs,cs,ds
C MOLP problem=22-43-213-c.vlp, minimize
C rows=43, columns=213, objectives=22
I16211.08] Elapsed: 4:30:11, vertices: 188, facets final: 50, pending: 640193, eq: 14676, out: 24525, in: 10754, pool: 149
I16640.60] Elapsed: 4:37:21, vertices: 189, facets final: 50, pending: 661623, eq: 28655, out: 23766, in: 45196, pool: 149
I17079.14] Elapsed: 4:44:39, vertices: 190, facets final: 50, pending: 657563, eq: 32489, out: 28741, in: 24681, pool: 149
I17556.30] Elapsed: 4:52:36, vertices: 191, facets final: 51, pending: 656022, eq: 17918, out: 25463, in: 23923, pool: 148
I17960.87] Elapsed: 4:59:21, vertices: 192, facets final: 51, pending: 652986, eq: 21164, out: 25143, in: 22107, pool: 148
I18360.34] Elapsed: 5:06:00, vertices: 193, facets final: 51, pending: 642508, eq: 20372, out: 23354, in: 12876, pool: 148
I18679.97] Elapsed: 5:11:20, vertices: 194, facets final: 51, pending: 625826, eq: 17021, out: 22558, in: 5876, pool: 149
I19052.09] Elapsed: 5:17:32, vertices: 195, facets final: 51, pending: 621164, eq: 17301, out: 22385, in: 17723, pool: 149
I19468.96] Elapsed: 5:24:29, vertices: 196, facets final: 51, pending: 652068, eq: 14029, out: 22209, in: 53113, pool: 148
I19954.85] Elapsed: 5:32:35, vertices: 197, facets final: 51, pending: 640982, eq: 22072, out: 29850, in: 18764, pool: 148
I20368.44] Elapsed: 5:39:28, vertices: 198, facets final: 51, pending: 658924, eq: 29946, out: 23539, in: 41481, pool: 148
I20778.88] Elapsed: 5:46:19, vertices: 199, facets final: 51, pending: 669424, eq: 12452, out: 23724, in: 34224, pool: 148
I21191.15] Elapsed: 5:53:11, vertices: 200, facets final: 51, pending: 664291, eq: 17171, out: 23164, in: 18031, pool: 149
I21192.88] recalculating facets...
I21535.67] Elapsed: 5:58:56, vertices: 201, facets final: 51, pending: 654816, eq: 15804, out: 22842, in: 13367, pool: 149
I21964.24] Elapsed: 6:06:04, vertices: 202, facets final: 51, pending: 666565, eq: 9385, out: 22608, in: 34357, pool: 149
